clause_text,clause_type,risk
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
INTELLECTUAL PROPERTY AGREEMENT,Document Name,Low
"Equifax Inc. (""Equifax""); Certegy Inc. (""Certegy"")",Parties,Low
6/30/01,Agreement Date,Low
perpetual,Expiration Date,Low
Georgia,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
INTELLECTUAL PROPERTY AGREEMENT,Document Name,Low
"Armstrong Flooring, Inc. (""Seller""); AFI Licensing LLC (""Licensing""); AFI Licensing LLC together with Armstrong Flooring, Inc. (""Arizona""); AHF Holding, Inc. (""Buyer""); Armstrong Hardwood Flooring Company (""Company""); AHF Holding, Inc. together with Armstrong Hardwood Flooring Company (""Buyer Entities""); (each of Arizona on the one hand and the Buyer Entities on the other hand, a “Party” and collectively, the “Parties”)",Parties,Low
12/31/18,Agreement Date,Low
12/31/18,Effective Date,Low
perpetual,Expiration Date,Low
Delaware,Governing Law,Low
Yes,Non-Disparagement,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Covenant Not To Sue,Low
Intellectual Property Agreement,Document Name,Low
"GSI Technology, Inc. (""PURCHASER""); Sony Electronics Inc. (""SONY""); individually as a ""party"", collectively as the ""parties""",Parties,Low
8/28/09,Agreement Date,Low
perpetual,Expiration Date,Low
California,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Audit Rights,Medium
Yes,Third Party Beneficiary,Low
INTELLECTUAL PROPERTY AGREEMENT,Document Name,Low
"THE HERTZ CORPORATION (""THC""); HERTZ SYSTEM, INC. (""HSI""); HERC RENTALS INC. (""HERC""); (hereinafter referred to collectively the ""Parties"", and individually as a ""party""",Parties,Low
6/30/16,Agreement Date,Low
6/30/16,Effective Date,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
Intellectual Property Agreement,Document Name,Low
"JingWei HengTong Technology (""ShenZhen""); ShenZhen JingWei Communication Co., Ltd.",Parties,Low
2/8/07,Agreement Date,Low
2/8/07,Effective Date,Low
2/8/12,Expiration Date,Low
People's Republic of China,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Intellectual Property Agreement,Document Name,Low
"Morgan Stanley & Co. Incorporated (""MS""); MSCI Inc. (""MSCI""); MS and MSCI individually as ""Party"" and collectively as the ""Parties""",Parties,Low
11/20/07,Agreement Date,Low
11/20/07,Effective Date,Low
New York,Governing Law,Low
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Cap On Liability,High
INTELLECTUAL PROPERTY AGREEMENT,Document Name,Low
"United Technologies Corporation (""UTC""); Otis Worldwide Corporation (""Otis""); Carrier Global Corporation (""Carrier""); each a ""Party"", and together, the ""Parties""",Parties,Low
4/2/20,Agreement Date,Low
perpetual,Expiration Date,Low
Delaware,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
INTELLECTUAL PROPERTY AGREEMENT,Document Name,Low
"NMS Communications Corp. (""Seller""); Verson Backhaul Solutions, Inc. (""Backhaul"")",Parties,Low
12/20/07,Agreement Date,Low
Georgia,Governing Law,Low
Yes,Ip Ownership Assignment,Low
INTELLECTUAL PROPERTY AGREEMENT,Document Name,Low
"Motorola Solutions, Inc. (""Seller""); Zebra Technologies Corporation (""Purchaser"")",Parties,Low
4/14/14,Agreement Date,Low
4/14/14,Effective Date,Low
Delaware,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Cap On Liability,High
"Distributor Agreement

Distributor Agreement",Document Name,Low
"Airspan Networks Incorporated (""Airspan""); GLS LLC (""Distributor"")",Parties,Low
3/31/00,Agreement Date,Low
3/31/00,Effective Date,Low
3/31/05,Expiration Date,Low
South Dakota,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Covenant Not To Sue,Low
Multiple LINAC and Multi-Modality Distributor Agreement,Document Name,Low
"ACCURAY INCORPORATED, (""Accuray""); SIEMENS AKTIENGESELLSCHAFT (""Siemens"")",Parties,Low
6/8/10,Agreement Date,Low
6/8/10,Effective Date,Low
perpetual,Expiration Date,Low
Germany,Governing Law,Low
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
DISTRIBUTOR AGREEMENT,Document Name,Low
"Snotarator LLC (""Company""); SMSA Ballinger Acquisition Corp., (""Distributor"")",Parties,Low
8/1/13,Agreement Date,Low
8/1/13,Effective Date,Low
5/31/15,Expiration Date,Low
2 years,Renewal Term,Low
Texas,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Covenant Not To Sue,Low
DISTRIBUTOR AGREEMENT,Document Name,Low
"VendingData Corporation (""Vendor""); Technical Casino Supplies Ltd. (""Distributor"")",Parties,Low
1/21/05,Agreement Date,Low
1/21/05,Effective Date,Low
1/21/10,Expiration Date,Low
successive 3 years,Renewal Term,Low
"Ontario, Canada",Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
DISTRIBUTOR AGREEMENT,Document Name,Low
"Tripath Technology, Inc. (""Tripath""); Uniquest Corporation (""Distributor"")",Parties,Low
7/7/98,Agreement Date,Low
7/1/98,Effective Date,Low
perpetual,Expiration Date,Low
successive 1 year,Renewal Term,Low
California,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
DISTRIBUTOR AGREEMENT,Document Name,Low
"WatchGuard Technologies, Inc. (""WGT""); European Micro (""Distributor"")",Parties,Low
11/5/97,Agreement Date,Low
11/5/97,Effective Date,Low
9/30/97,Expiration Date,Low
successive 1 year,Renewal Term,Low
Washington,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Warranty Duration,Low
Yes,Covenant Not To Sue,Low
EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,Low
"IMRS OPERATIONS INC. (""IMRS INC."", ""Developer""); Delteq Pte Ltd (""Distributor"")",Parties,Low
4/15/94,Agreement Date,Low
4/15/94,Effective Date,Low
4/15/95,Expiration Date,Low
successive 2 years,Renewal Term,Low
Connecticut,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
EXCLUSIVE   DISTRIBUTOR  AGREEMENT,Document Name,Low
"LifeUSA/  Envision  Health,  Inc. (""ENVISION""); Sierra Mountain Minerals, Inc. (""SIERRA"")",Parties,Low
12/8/05,Agreement Date,Low
12/8/05,Effective Date,Low
12/8/07,Expiration Date,Low
successive 1 year,Renewal Term,Low
Colorado,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Insurance,High
Distributor Agreement,Document Name,Low
"Lucid Inc.; [*] (""Distributor"")",Parties,Low
successive 1 year,Renewal Term,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Cap On Liability,High
DISTRIBUTOR  AGREEMENT,Document Name,Low
"Electric City Corp. (""Company""); Electric City of Illinois LLC (""Distributor"", ""Electric City of Illinois L.L.C."")",Parties,Low
7/7/99,Agreement Date,Low
10 1 years,Renewal Term,Low
Illinois,Governing Law,Low
Yes,Exclusivity,Medium
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Price Restrictions,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Warranty Duration,Low
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
DISTRIBUTOR AGREEMENT,Document Name,Low
"PPG Paints Trading (Shanghai) Co Ltd (""PPG Shanghai""); NeoMedia Micro Paint Repair (""DISTRIBUTOR"")",Parties,Low
12/01/[],Agreement Date,Low
12/01/[],Effective Date,Low
12/31/06,Expiration Date,Low
30 days,Renewal Term,Low
People's Republic of China,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Covenant Not To Sue,Low
DISTRIBUTOR AGREEMENT,Document Name,Low
"JOHNSON MATTHEY CATALOG COMPANY, INC. d/b/a ALFA AESAR (“ALFA AESAR”); Nanophase Technologies Corporation (“NTC”)",Parties,Low
10/24/05,Agreement Date,Low
10/24/10,Expiration Date,Low
2 years,Renewal Term,Low
"Delaware, Illinois",Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
DISTRIBUTOR AGREEMENT,Document Name,Low
"COMWARE TECHNICAL SERVICES (""COMWARE""); INTERNATIONAL TEST SYSTEMS, INC. (""ITS"")",Parties,Low
10/15/00,Expiration Date,Low
6 months,Renewal Term,Low
Texas,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Minimum Commitment,Low
Yes,Warranty Duration,Low
DISTRIBUTOR AGREEMENT,Document Name,Low
"Wireless Links Inc (""WLI""); Jaguar Investments, Inc. and its affiliates (""Power2Ship"")",Parties,Low
4/7/03,Agreement Date,Low
4/7/03,Effective Date,Low
4/7/06,Expiration Date,Low
successive 1 year,Renewal Term,Low
New Jersey,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
Transportation Agreement,Document Name,Low
"Energy XXI Gulf Coast, Inc. (""Shipper""); Energy XXI USA, Inc. (""Transporter"");Shipper and Transporter (individually as a “Party” or collectively as the “Parties”)",Parties,Low
3/11/15,Agreement Date,Low
3/11/15,Effective Date,Low
perpetual,Expiration Date,Low
perpetual,Renewal Term,Low
Texas,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
TRANSPORTATION CONTRACT,Document Name,Low
"Enterprise Transportation Company (""Carrier""); Enterprise Products  Operating L.P. (""Shipper"")",Parties,Low
6/1/98,Agreement Date,Low
6/1/98,Effective Date,Low
6/1/99,Expiration Date,Low
perpetual,Renewal Term,Low
Texas,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Price Restrictions,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Cap On Liability,High
Yes,Insurance,High
MARINE TRANSPORTATION AGREEMENT,Document Name,Low
"Martin Operating Partnership L.P. (""Owner""); Midstream Fuel Service LLC (""Charterer"")",Parties,Low
12/23/03,Agreement Date,Low
12/23/03,Effective Date,Low
12/23/06,Expiration Date,Low
successive 1 year,Renewal Term,Low
Texas,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
ENDORSEMENT AGREEMENT,Document Name,Low
"TOM WATSON (""CONSULTANT""); ADAMS GOLF, LTD. (""ADAMS GOLF"")",Parties,Low
1/13/05,Agreement Date,Low
9/1/04,Effective Date,Low
[]/[]/[],Expiration Date,Low
Kansas,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Endorsement Agreement,Document Name,Low
"Kathy Ireland, Inc. (""KI Inc.""); Kathy Ireland (""KI""); The Sterling/Winters Co. (""SW""); Diplomat Ambassador Eyewear Group (""Diplomat"")",Parties,Low
8/24/95,Agreement Date,Low
8/1/95,Effective Date,Low
1/30/00,Expiration Date,Low
California,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
ENDORSEMENT AGREEMENT,Document Name,Low
"Holiday RV Superstores, Inc. d/b/a Recreation USA (""Company""); Affinity Group, Inc. (""AGI""); Company and AGI (each a ""Party"" and collectively the ""Parties"")",Parties,Low
3/20/02,Agreement Date,Low
3/20/02,Effective Date,Low
3/20/05,Expiration Date,Low
California,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
ENDORSEMENT AGREEMENT,Document Name,Low
"Bruce Jenner (""CELEBRITY""); The Right Solution (""COMPANY"")",Parties,Low
11/1/03,Agreement Date,Low
11/1/04,Expiration Date,Low
Nevada,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Volume Restriction,Low
ENDORSEMENT AGREEMENT,Document Name,Low
"Movado Group, Inc. (""Company""); Trustees of the Grinberg Family Trust (""Trust"")",Parties,Low
4/4/03,Agreement Date,Low
perpetual,Expiration Date,Low
New York,Governing Law,Low
Yes,Post-Termination Services,Medium
ENDORSEMENT AGREEMENT,Document Name,Low
"MOSSIMO, INC. (""Company""); DAVID DUVAL ENTERPRISES, INC (""Licensor"")",Parties,Low
1/1/00,Agreement Date,Low
1/1/00,Effective Date,Low
12/31/03,Expiration Date,Low
Ohio,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
Yes,Third Party Beneficiary,Low
ENDORSEMENT AGREEMENT,Document Name,Low
"SPORT-HALEY, INC. (""Company""); __________ (""Professional"")",Parties,Low
[]/[]/19[],Agreement Date,Low
[]/[]/19[],Effective Date,Low
Colorado,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Unlimited/All-You-Can-Eat-License,Low
Yes,Post-Termination Services,Medium
Endorsement Agreement,Document Name,Low
"Teardrop Putter Corporation (""TPC""); Consolidated Artists  Inc. (""Consolidated Artists"")",Parties,Low
1/1/96,Agreement Date,Low
1/1/96,Effective Date,Low
12/31/98,Expiration Date,Low
Virginia,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Liquidated Damages,High
ENDORSEMENT AGREEMENT,Document Name,Low
"FAMOUS FIXINS, INC. (""Company""); PEY DIRT, INC. (""Pey Dirt"")",Parties,Low
5/31/99,Agreement Date,Low
5/31/99,Effective Date,Low
5/31/00,Expiration Date,Low
Tennessee,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
"LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",Document Name,Low
"Array BioPharma Inc., (""Array""); Ono Pharmaceutical Co., Ltd. (""Ono""); (individually ""Party"", collectively ""Parties"")",Parties,Low
5/31/17,Agreement Date,Low
5/31/17,Effective Date,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Warranty Duration,Low
Collaborative Development and Commercialization Agreement,Document Name,Low
"Microgenics Corporation (""Microgenics""); Achaogen Inc. (""Achaogen""); (individually ""Party"" and collectively ""Parties"")",Parties,Low
4/26/16,Agreement Date,Low
4/26/16,Effective Date,Low
perpetual,Expiration Date,Low
Delaware,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
DEVELOPMENT AGREEMENT,Document Name,Low
"Leo Pharma A/S (""LEO""); Galen (Chemicals) Limited (""GALEN"")",Parties,Low
04/[]/2003,Agreement Date,Low
04/[]/2003,Effective Date,Low
New York,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
DEVELOPMENT AGREEMENT (“,Document Name,Low
"BP America Production Company (""BP""); True North Energy Corp. (""Company"")(individually as a “Party” and collectively, the “Parties”)",Parties,Low
1/1/07,Agreement Date,Low
1/1/07,Effective Date,Low
Louisiana,Governing Law,Low
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
FRANCHISE AGREEMENT,Document Name,Low
"Airsopure International Group, Inc. (""AIRSOPURE"" or ""we"" or ""us"" or ""our""); [] (""You"" or ""Franchisee"" or ""Your"")",Parties,Low
[]/[]/2000,Agreement Date,Low
[]/[]/2000,Effective Date,Low
[]/[]/2010,Expiration Date,Low
2 successive 10 years,Renewal Term,Low
Texas,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
FRANCHISE AGREEMENT,Document Name,Low
"Homewood Suites Franchise LLC (""we,"" ""us,"" ""our"" or ""Franchisor""); Franchisee (""you,"" ""your"" or ""Franchisee"") (We and you may collectively be referred to as the ""Parties."")",Parties,Low
3/21/14,Effective Date,Low
3/31/29,Expiration Date,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
FRANCHISE AGREEMENT,Document Name,Low
"BURGER  KING  CORPORATION (""BKC""); INTERNATIONAL FAST FOOD POLSKA SP ZO.0 (""Franchisee""); INTERNATIONAL FAST FOOD                                           CORPORATION (""Principals"", ""Principal"")",Parties,Low
Florida,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Non-Disparagement,Low
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
FRANCHISE AGREEMENT,Document Name,Low
"Goosehead Insurance Agency, LLC (“we,” “us,” or “our""); (“you” or the “Franchisee"")",Parties,Low
successive 5 years,Renewal Term,Low
Texas,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
Yes,Third Party Beneficiary,Low
"Franchise Agreement

Addendum to Lease Agreement",Document Name,Low
"The Joint Corp (“we”, “us”, the “Company”, or “The Joint Corp.""); (“you,” “Franchise Owner,” or “Franchisee"")
 
 ________________________________________ (“you,” “Franchise Owner,” or “Franchisee)(if you are a partnership, corporation, or limited liability company, your “Principal Owners”)",Parties,Low
10 years,Renewal Term,Low
Arizona,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
Yes,Third Party Beneficiary,Low
SITE DEVELOPMENT AND HOSTING AGREEMENT (,Document Name,Low
"Hanover Direct, Inc. (""HDI""); The Deerskin Companies, Inc. (""Company"")",Parties,Low
8/9/99,Agreement Date,Low
successive 1 year,Renewal Term,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
e-business Hosting Agreement,Document Name,Low
"International Business Machines Corporation (""IBM""); Bluefly, Inc. (""Customer"")",Parties,Low
1/14/02,Agreement Date,Low
1/15/02,Effective Date,Low
perpetual,Expiration Date,Low
New York,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Third Party Beneficiary,Low
Co-Hosting Agreement,Document Name,Low
"NETWORKS ASSOCIATES, INC. (""NAI""); SOFTWARE.NET CORPORATION (""a.k.a. Beyond.com"" or ""Co-Host"")",Parties,Low
9/21/98,Agreement Date,Low
9/21/98,Effective Date,Low
9/21/01,Expiration Date,Low
California,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
LICENSING AND WEB SITE HOSTING AGREEMENT,Document Name,Low
"Mortgage Logic.com, Inc. (""Client""); TrueLink, Inc. (""TrueLink"")",Parties,Low
